8405001500101012ENGLISH                  12221222241
8405001500101029                         12921122231
8405001500101049                         21121222432
8405001500101052ENGLISH                  12222233441
8405001500101069ONLY ENGLISH             22122222121
8405001500101079                         12221222341
8405001500101089                         12212249991
8405001500101109                         22292122132
8405001500101119                         11112219991
8405001500101129                         12122211341
8405001500101131                         12122212442
8405001500101142GUJARATI                 22221212344
8405001500101159                         12211212431
8405001500101162ENGLISH                  22122119991
8405001500101179                         12122259992
8405001500101189                         22222239991
8405001500101199                         22212222242
8405001500101219                         22222119992
8405001500101229                         11111219992
8405001500101232ENGLISH                  11211219999
8405001500102019                         12221223221
8405001500102029                         11221211241
8405001500102039                         12221219991
8405001500102049                         11122221242
8405001500102069                         22211212119
8405001500102079                         12122211341
8405001500102089                         12222212441
8405001500102099ESPANOL                  11122221342
8405001500102101JAPANISE                 21221211443
8405001500102119                         12222221341
8405001500102121                         12222291431
8405001500102131                         21222211442
8405001500102149                         12122221342
8405001500102151                         21121212343
8405001500102169                         12221241442
8405001500102179                         12221211342
8405001500102189                         12222212241
8405001500102199                         21121211341
8405001500102209                         22221211332
8405001500102211                         11121231242
8405001500102229                         22221232241
8405001500102232ENGLISH                  11122212142
8405002500204011                         11112211443
8405002500204052BURMESE                  22229111124
8405002500204071                         22222212343
8405002500204081                         22222212223
8405002500204091                         21122212233
8405002500204109                         99999991233
8405002500204119                         22221253331
8405002500204142VIETNAMESE               22222222244
8405002500204151                         22222212233
8405002500204179                         22122211442
8405002500204181                         12222221233
8405002500204191                         22122211133
8405002500204202                         21122121222
8405002500204211                         22212222233
8405002500204222BURMESE                  22222221134
8405002500204239                         22121211142
8405002500209011                         22221122233
8405002500209021                         22122231243
8405002500209041                         12222211243
8405002500209061                         22222211123
8405002500209091                         22222212233
8405002500209101                         22122222333
8405002500209131                         21221222233
8405002500209161                         21122134443
8405002500209171                         22122212123
8405002500209201                         22122211132
8405002500209221                         22121232333
8405002500209241                         22121211243
8405002500209252VIETNAMESE               22222211344
8405003500302019                         11121221115
8405003500302021                         12222211233
8405003500302039                         11212221231
8405003500302042ENGLISH                  22222223242
8405003500302059                         12222221122
8405003500302069                         21212211441
8405003500302079                         12222111231
8405003500302082                         21222221441
8405003500302099                         99999992335
8405003500302109                         12211222231
8405003500302119                         11212222431
8405003500302129                         12222221231
8405003500302139                         12212222241
8405003500302149RUSION SOMETIMES BUT BAIR99999991111
8405003500302159SWAHELY                  12222251112
8405003500302169                         11222211231
8405003500302179                         99999993241
8405003500302189                         21122211226
8405003500302199                         21212221141
8405003500302202RUSHEN AND EGLISH        22222221231
8405003500302219                         12222221231
8405003500302229                         12222221122
8405003500302232GERMAN                   99999992241
8405003500302249                         12212221241
8405003500302259                         22122211231
8405003500302269                         12211211231
8405003500302271                         11111211143
8405003500302289                         21212221231
8405003500302292HINDI                    12121241144
8405003500302301                         22222111142
8405003500303019                         22222223332
8405003500303042ENGLISH                  22222211441
8405003500303059                         11212212344
8405003500303069                         12122231221
8405003500303079                         12222212341
8405003500303089                         12112211231
8405003500303109                         11212222231
8405003500303119ENGLISH                  11122122411
8405003500303122ITALIN                   12212211221
8405003500303132CHINESE                  11129221124
8405003500303149                         22222211221
8405003500303151                         12222222131
8405003500303169                         11212212341
8405003500303179                         22212211241
8405003500303189                         12212211231
8405003500303199                         22222231231
8405003500303209                         19199229331
8405003500303219                         12112211191
8405003500303222ENGLISH                  99999992242
8405003500303232ENGLISH                  11112131241
8405003500303242CHINESE                  91929221224
8405003500303259                         99999991221
8405003500303269NOTHING                  12222241142
8405003500303289                         12212231221
8405004500402012                         91992223343
840500450040202                                     
8405004500402032SOMAIL                   12122221132
8405004500402049                         22222121131
8405004500402059                         21222212241
8405004500402069                         22212211125
8405004500402072                         22222252433
8405004500402081                         22222251341
8405004500402101                         99999991233
8405004500402122ENGLISH                  22212211322
8405004500402131                         22212211243
8405004500402149ENGLISH                  22122231131
8405004500402159                         12292131445
8405004500402172ENGLISH                  22222211442
8405004500402182                         22112111111
8405004500402199                         22222241221
8405004500402201                         12222114445
8405004500402219                         12222151111
8405005500501012                         21129132113
8405005500501031                         22222211113
8405005500501041                         11222111343
8405005500501069                         22122112333
8405005500501079                         22212221233
8405005500501082                         12112142319
8405005500501091                         21212211223
8405005500501101                         22122221133
8405005500501121                         22122294243
8405005500501131                         22222212233
8405005500501142THAI                     22212211224
8405005500501151                         12112114213
8405005500501169                         99999991333
8405005500501171                         22222112233
8405005500501189                         19922211133
8405005500501199                         22222211243
8405005500501211                         12112241233
8405005500501221                         12122252243
8405005500504011                         99999991443
8405005500504022FRENCH AND ARABI         99999993341
8405005500504031                         22221222332
8405005500504041                         22212221443
8405005500504051                         12222141243
8405005500504061                         22222221443
8405005500504071                         22912211243
8405005500504081                         12112122143
8405005500504091                         22222212343
8405005500504101                         21222212243
8405005500504111                         12112222443
8405005500504129                         99999991233
8405005500504141                         22222211443
8405005500504169                         21122211221
8405005500504171                         12222242441
8405005500504182ENGLISH. SPANISH         12222243433
8405005500504201                         22222242243
8405005500504211                         12212222223
8405005500504221                         11112231133
8405006500603011                         22222121223
8405006500603039                         11211211441
8405006500603049                         21221222241
8405006500603059                         22222211122
8405006500603079                         11122211441
8405006500603089                         22121211121
8405006500603109                         21122212241
8405006500603119                         22212222322
8405006500603121                         22222222343
8405006500603131                         21122221243
8405006500603141                         22222211443
8405006500603161                         22121221243
8405006500603179                         22212221121
8405006500603199                         12222221441
8405006500603209                         12222211239
8405006500607019                         12122211342
8405006500607029                         22221111233
8405006500607039                         22222122131
8405006500607049                         12221212241
8405006500607059                         21211212241
8405006500607071                         11212221143
8405006500607089NONE                     99999991131
8405006500607092ENGLISH                  11121211341
8405006500607119                         21222123441
8405006500607131                         22221212231
8405006500607149                         22111241241
8405006500607162IRISH AND BRITAN         12222232221
8405006500607179                         12292212231
8405006500607182FRENCE,SPANISH AND SOMETI22229222249
8405006500607202ENGLISH                  12122211142
8405006500607219                         21221221133
8405007500703021                         22122221133
8405007500703031                         21222211139
8405007500703052                         12122122143
8405007500703061                         22222211123
8405007500703079SPANISH                  22222111111
8405007500703081                         22222131133
8405007500703099SPANISH AND ENGLES       12222112333
8405007500703101                         11122221343
8405007500703121                         11222221233
8405007500703131                         22222211121
8405007500703159                         12121223243
8405007500703162ENGLISH                  22222112213
8405007500703179                         12222132246
8405007500703181                         12221231133
8405007500703201                         11222139993
8405007500703221                         22122221333
8405007500703231                         22221121443
8405008500802011MORROCAN                 21111222332
8405008500802022NEPAIL                   11122231121
8405008500802039                         22121221122
8405008500802042SOMALI                   21121211432
8405008500802059                         11222251131
8405008500802069                         12229939999
8405008500802079                         99999991142
8405008500802082SOMALI                   22222231122
8405008500802099                         12222221131
8405008500802109                         22122232334
8405008500802119                         12222211221
8405008500802129                         12222221131
8405008500802131                         22122232222
8405008500802142                         12112221232
8405008500802159SOMALIERGISH             22222221119
8405008500802169                         11122221242
8405008500802179                         12121211231
8405008500802189                         22222221235
8405008500802192GERMAN                   12111231221
8405008500802202SOMALI                   12129931232
8405008500802219                         12229939999
8405008500802229                         11119931112
8405008500802232SWAHILI                  22222221132
8405008500802241                         22222211143
8405008500802252                         21122221312
8405008500802269                         12221211221
8405008500802281                         22122211242
8405008500805019V                        99999999992
8405008500805029SOMALI                   22121231342
8405008500805039SOMALI                   21122232242
8405008500805059                         11112241243
8405008500805062                         12222211432
8405008500805079                         22212221221
8405008500805082                         11222241112
8405008500805099                         22122231222
8405008500805102NEPALI                   22222231234
8405008500805119                         22122211122
8405008500805129ARABIC                   11111111131
8405008500805132SWAILLI                  22112131112
8405008500805142NEPALIAN                 22122211234
8405008500805152TWI                      22222252342
8405008500805169SOMAILA                  22212129992
8405008500805172TWE                      11122251212
8405008500805181                         11122211233
8405008500805192PORDAGAS                 11222211231
8405008500805202NEPALE                   92222222136
8405008500805212I DONT KNOW HOW SPELL IT 29122221132
8405008500805222NEPALI                   11212221224
8405008500805231                         22222222433
8405008500805241                         12122253243
8405008500805252SOMALI                   29222231232
8405008500805269                         99999991142
8405008500805271                         12122222223
8405008500805282                         12222221122
8405009500901019                         12222221241
8405009500901029                         11221213345
8405009500901039                         12222212446
8405009500901051                         21222241233
8405009500901069VIETNAMESE               21221211144
8405009500901079                         12222223332
8405009500901089                         21122212441
8405009500901099                         12222232245
8405009500901109                         12222221111
8405009500901129                         12112233331
8405009500901139                         12122211231
8405009500901142ENGLISH                  11122251231
8405009500901169                         11122221441
8405009500901172                         12222233331
8405009500901201                         11122211143
8405009500901212RUSSIAN                  11121223441
8405009500901229                         12212212231
8405009500901239                         11221212341
8405009500901249                         22212211141
8405009500901259SIGN LANGUAGE            11222212431
8405009500901269                         12222221211
8405009500901279                         21122212249
8405009500903029                         12122221446
8405009500903049                         12222211222
8405009500903069                         12222211121
8405009500903089                         22222293431
8405009500903099EGLISH                   12129911136
8405009500903109                         11122242313
8405009500903112VIETNAMESE               22222112134
8405009500903129                         11122211441
8405009500903139                         21212212231
8405009500903149                         22222211443
8405009500903151                         12222221223
8405009500903171                         12222211233
8405009500903181                         11222231193
8405009500903191                         21222221323
8405009500903209                         11222212231
8405009500903219                         12222213333
8405009500903229                         22221221431
8405009500903231                         11221211231
8405009500903242VIETNAMESE               22122221224
8405009500903259                         11221211141
8405009500903269                         12222222211
8405009500903279                         12222221111
8405010501001011                         22122241133
8405010501001029                         92222212349
8405010501001039TAGALOG                  22122212235
8405010501001049                         12222221243
8405010501001051                         12222212249
8405010501001061                         12222214443
8405010501001071                         12222211243
8405010501001089                         21222221125
