8405001 2 121111111131
8405002 2 121212121231
8405003 2 129999999951
8405004 4 131212121251
840500599 199999999941
8405006 2 131112111251
8405007 2 121211121121
8405008 1 131111111131
8405009 2 131211121241
8405010 3 111211121121
8405011 4 131211121151
8405012             21
8405013 2 121212121231
8405014 2 121112111231
8405015 2 121212121231
8405016 2 121111111121
8405017 2 731111111151
8405018 2 121111111131
8405019 2 121212121231
8405020 4 231112111231
8405021 3 121212121241
8405022 3 121212121221
8405023 2 121112111241
8405024 5 131112111251
8405025             51
8405026 5 111111111131
8405027 2 121111111121
8405028 3 731211121151
8405029 2 131212111251
8405030 1 121112111231
8405031 2 111212121211
8405032 2 139999999951
8405033 2 711212121231
8405034 1 131111111151
840503699 199999999931
8405037 2 121211121121
8405038 2 131111111151
8405039 3 121211121241
8405040 2 111112111221
8405041 5 131111111141
8405042             51
8405043 2 121211121121
8405044 2 121212121231
8405045             51
8405046 2 131112111251
8405047 4 111112111231
8405048 2 131212121241
8405049 5 231111111151
8405050 2 121212121221
8405051 1 121112111251
8405052 5 131211121151
8405053 1 131111111141
8405055 3 131112111241
8405056 2 111112111221
8405057 2 731112111241
8405058 3 131111111151
8405059             41
8405060 2 921212121212
8405061 2 231212121251
8405062 4 121212121241
8405063 3 121122112231
8405064 2 121211111131
8405065 4 121222122221
8405066 2 131211121141
8405067 2 111112111221
8405068 2 121122122231
8405069 6 131212121251
8405070 2 131111111141
8405071 4 131211121151
8405072 3 131111111141
8405073             41
8405074 2 111212121211
8405075 4 131111111151
8405076 4 131111111251
8405077 2 229999999921
8405078 3 121212122231
8405079 4 121111111131
8405080 4 111222122231
8405081 2 131212121241
8405082 3 121211121141
840508399 199999999931
8405084 4 321212121231
8405085 3 121211121131
8405086 3 121111111151
8405087             31
8405088 2 121222222211
8405089 2 111112111211
8405090 5 121111111151
8405091 2 122212221221
8405092 2 121112111231
8405093 1 831211121152
840509499 199999999941
8405095 2 131112111241
8405096 3 121111111141
8405097 2 131111111141
8405098             11
8405099 2 121112111231
8405100 2 911111111112
8405101 4 331112111251
8405102 4 131111111151
8405103 6 131111111131
8405104 3 121212121231
8405105 3 721111111151
8405106 6 131111111141
8405107 2 131212121231
8405108 3 121111111131
8405109 1 921211121132
8405110 2 121212121221
8405111 4 721211121141
8405112             51
8405113 4 221111111141
8405114 2 121212121231
8405115 2 121222122251
8405116 2 111211121111
8405117 5 231122112251
8405118 5 131111111151
8405119 4 931212121242
8405120 1 121212121231
8405121 2 121111111131
8405122 1 822211221122
8405123 4 131121112131
8405124 1 131112111241
8405125 4 131112111251
8405126 4 121111111141
8405127 4 131111111141
8405128 3 131212121251
8405129 3 131111111151
8405131 2 131222122251
8405132 2 111222122211
8405133 5 131111111151
8405134 1 131211121141
8405135 1 111221122121
8405136             51
8405137 1 831212121212
8405138 2 121112111231
8405139             31
8405140 2 121112111231
8405141 2 121212121241
8405142 2 931212121252
8405143             31
8405144 4 121111111141
8405145             51
8405146 1 121212121231
8405147 4 121112111231
8405148 2 121212121231
8405149 2 121212121131
8405150 2 821211121112
8405151 6 131112111151
